cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgwNZKRy_0pafarPV5V4AaABAg,"Masalay itu ada di bea cukai dan perusaan pengiriman barang😅, ,",15 jam yang lalu,@samsuljauhari2152,UCtqn4ba8IOz3LtJTz6KQvqg,0,,https://yt3.ggpht.com/ytc/AIdro_nnRsP4aMj7WGh9yRXSbBxvuQeIJBow7N9VrhkoyCU=s88-c-k-c0x00ffffff-no-rj,False,False,1716262855.620026
UgynHnXiKtCC6eCJ8tl4AaABAg,"Kasus bea cukai ini ga akan ada habisnya kerna semua pejabat2 negara indonesia korupsi ,paling pun kalo kasus udh viral perlakunya hanya dicopot dari  jabatannya.Mereka tetap kaya raya kerna harta dari korupsi mereka tidak disita.Pendapat aku banyaknya kasus korupsi di pejabat2 indonesia kerna lemahnya undang2 indonesia,undang2 di indonesia haruslah keras dan tegas dlm menangani korupsi pasti negara indonesia kedepannya lebih baik",17 jam yang lalu (diedit),@AbdulGhani-zy5nq,UCTevb6gVt9IP1Wbjyam9Hag,0,,https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj,False,False,1716255655.622019
UgxTbP31ERXzdKVOoj54AaABAg,Emang jadi petugas negara itu harus pinter akting dan pinter sandiwara makanya tidak ada hasilnya..itu udah dr dulu...ah dasar ketoprak!,17 jam yang lalu,@hariyantoyanto1265,UCf9StT1lsAdWXgtXv0rqE2g,0,,https://yt3.ggpht.com/ytc/AIdro_nesvdvJbeNqW9_6mLFrDFJzBSpEYNyxbnjjihu8VtuaYI=s88-c-k-c0x00ffffff-no-rj,False,False,1716255655.623009
UgxP2_zK5orosg4vIQB4AaABAg,Terlalu banyak mafia di bea cukai hrs di usut !!!,17 jam yang lalu,@sesiliastory3343,UCuX_6xkNd3YbxrU6dLfyOXw,0,,https://yt3.ggpht.com/wSkgKcC6hn0ViCEI75h7SENnNiBt9r-v8TupJ3rZ46TdeQ60cb4qkJ9CdBeaP2tUWa6pKeptlQ=s88-c-k-c0x00ffffff-no-rj,False,False,1716255655.626229
UgwQ9ulErrOLojxRn9R4AaABAg,"Menterinya juga harus diperiksa, ada pembiaran, gak ada sidak dan pemeriksaan internal yang intensif, apa apa nunggu viral, apa apa nunggu heboh, gak bener !!",17 jam yang lalu (diedit),@user-pq2rg5br4x,UCK_RqQi64WYB5QHMmciSANQ,0,,https://yt3.ggpht.com/ytc/AIdro_lTrrHNGPRIMVPlGVJWJRUZyPKZgYzMHAYeE5q4nDRgYMMh1I483VD9E0r_pf3-S3k_iQ=s88-c-k-c0x00ffffff-no-rj,False,False,1716255655.628225
UgwHMftuJybxPaMd81R4AaABAg,Wkwkwkwkwkkwkwkk..,18 jam yang lalu,@tomhambali8740,UCrCYMZRGcxq7qI_q7YFd4fw,0,,https://yt3.ggpht.com/cwv2x2UaTjbB-K9JGam_-IKHaFSA5zm77MJYWLwzPwokWzzPPGSUliEJDnWynOBJtsiCNAnP6g=s88-c-k-c0x00ffffff-no-rj,False,False,1716252055.630229
UgwsjDZRK0CQX-w3Bsx4AaABAg,"sarang,a korupsi",19 jam yang lalu,@berrbyputriirawan,UCJdYjfnkK1RPYR-2iZFkBQQ,0,,https://yt3.ggpht.com/2JDkZY92FummEItd7ZOyvQmuwWhgfIK0HbFG8YjYpmuP72Txowu0KbrE519RInG7ZL785COnGg=s88-c-k-c0x00ffffff-no-rj,False,False,1716248455.632205
UgzKiv4lGBgaqZzKj8F4AaABAg,NKRI adalah negars korupsi dan Maling kepada negara bangsa khususnya kepada rakyat sendiri...Pantes negara ini mendonia diseantero jagatraya.....kok bisa....?,20 jam yang lalu,@azamahmad9590,UCnxflxCdGf87QCu5GH7W41Q,0,,https://yt3.ggpht.com/ytc/AIdro_kd2RMHGfR0lWEIBC4rnd_1G3OQ_-XIFI6agpvnwLE=s88-c-k-c0x00ffffff-no-rj,False,False,1716244856.197332
UgxnvnEHYUT8eKgtQk94AaABAg,Ya bu mentri telat kok kebangetan .harusnya ibu melakukan penyamaran biar tahu tdk laporan dr pegawai bea cukai yg tentu abs.yg payah siapa.kok.aneh.,21 jam yang lalu,@widodoreksoatmojo5639,UC3dMypf4tUlOHRNmwM0mGRA,0,,https://yt3.ggpht.com/ytc/AIdro_nbrwlophLjcFrG9bwBSSd70JVu6Nq0ijnyQA3vq7VNBUgDOOuLnjqxdsLnrZ6OWgNPhw=s88-c-k-c0x00ffffff-no-rj,False,False,1716241256.200243
UgwzfEMdqv-2arFU4od4AaABAg,kocak,1 hari yang lalu,@SinobyTa,UC4t4u4Pd_ZwR4MdW9Ex9C_Q,0,,https://yt3.ggpht.com/tZmIVEuV-glgK7kEDhrhoIWpFyI_k81DkttDTrs3cazPqf7mO3TG6CUb_Nw8s95h2AeBDOkH9g=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.20333
